time.period,BC.AD,author,dynasty,poem.type,theme,religion,book,chapter,title,content
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,15,Gathering the Duckweed,"Where can I gather the duckweed? 
2 On the banks of the southern dale. 
Where can I gather the water grasses? 
4 In those rainwater pools along the paths. 
Where can I deposit them? 
6 In baskets square and round, 
In cauldrons and pans. 
8 And sing in a chorus of warbling. 
Where can I offer them? 
10 Beneath the window of the ancestral shrine? 
Who will represent the spirits? 
12 There is a reverent, unmarried maid."
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,278,Egrets in Flight,"A flock of egrets in flight 
2 Over that western marsh. 
Our guests have arrived—
4 They also have this appearance. 
Among those (spirits), no distaste; 
6 Among these (who sacrifice), no fatigue. 
May they from dawn to dusk 
8 Thereby make their (ancestors’) fame
everlasting. "
600,BC,Confucius,Pre-Qin,Tetrasyllabic Shi (The Book of Poetry (Shijing)),Love and Courtship,Confucianism,Mao,237,Woven,"Woven and unbroken are the gourds, large and small. 
2 As the early life of our people. 
From the Du to the Qi 
4 Came the ancient honorable Dan Fu. 
He dug shelters, he dug caves— 
6 They still did not have houses and homes. 
The ancient honorable Dan Fu, 
8 On the next morning drove his horses. 
Leading them west along the banks of the river, 
10 He reached the foot of Mount Qi. 
Then with the woman Jiang 
12 He came himself to look for places to dwell.
The plain of Zhou was so fertile 
14 Even bitter celery was like honey. 
Then he began, then he divined, 
16 Then he notched our tortoises. 
They read “stay,” they read “it’s time.” 
18 So he built homes there. 
And so he was content, and so he stayed. 
20 And so he created a left, and so he made a right. 
And so he set boundaries, and so he made territories. 
22 And so he dredged gullies, and so ordered the fields; 
From the west to the east 
24 Everywhere he then took charge of affairs. 
The he summoned a Master of Construction; 
26 Then he summoned a Master of Labor. 
So that they could erect houses and homes. 
28 Their plumb lines ruled straight, 
They lashed together planks as earthen molds, 
30 To build an ancestral temple, reverent and respectful. 
Carrying the earth in crowds and multitudes, 
32 Throwing it into molds with clamors and shouts; 
Raising walls with a pounding beat, 
34 Smoothing them with a scraping sound. 
One hundred walls rose up together— 
36 The beating of the work drums could not keep up! 
So he created the outer gate soaring, 
38 Soaring the gate so high. 
So he erected the palace gate, 
40 The palace gate so grand. 
So he erected a great earthen shrine, 
42 Whereby to parade the Rong captives (in defeat). 
Tho’ over time he could not stop the enemy’s wrath, 
44 Still they did no harm to our reputation. 
He thinned the oaks, 
46 He cleared the roads, 
32 pre-qin times
He frightened away the Kun barbarians— 
48 Ah, how they panted in exhaustion. 
To cause the Yu and the Rui to pledge peace, 
50 King Wen quickened their yielding natures. 
I say he brought those estranged to follow him;
52 I say he drew those from front and back to him; 
I say he caused those with petitions to rush to him; 
54 I say he brought his defamers to his defense"
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
The Beautiful Woman",None,None,0,The Lord of the Xiang River,"My lord has not come, he is hesitant, 
Who is it that keeps him on the isle? 
A lovely lady with delicate beauty, 
I move quickly on my cassia boat. 
5 I order the Yuan and Xiang to calm their waves, 
And command the Great River to ease its flow. 
I look out for my lord, but still he is not here, 
I play the reed pipes, but who is in my mind? 
I ride my flying dragon to journey to the north, 
10 And steer my way toward Dong-ting Lake. 
My sail is decorated with fig leaves and melilot,
Iris and orchid banners cover my flagpole. 
I gaze at the northern side of the Cen, far away, 
And wafting my magic I cross the Great River. 
15 Wafting my magic, I still have not reached him, 
My women are upset and heave deep sighs. 
My tears run down like small streams,
The thought of you makes me grieve. 
The cassia oars and orchid sweep on my boat 
20 Chip and knock at the ice and snow.
I pick fig leaves in the water, 
And pluck lotuses from the treetops.
Our hearts are different: all matchmaking is
Our love is not deep: it is easy to break. 
25 A stream dashes through the stone shallows, 
And the flying dragon hovers above. 
Unfaithful relations cause long bitterness, 
He broke our date, telling me that he had
no time. 
In the morning I race along the riverside, 
30 By the evening I halt my chariot at the north
bank. 
Birds are roosting on the rooftops, 
And waters are circling around the hall. 
I throw my jade ring into the river, 
And leave my pendant in the mouth of the Li.
35 I pick lavenders in the fragrant isle, 
And will give them to my women below. 
A lost moment cannot be regained, 
Let us now take our time and roam at ease."
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
The Beautiful Woman",None,None,0,The Lady of the Xiang River,"Child of god, please come down to the north bank! 
Longingly I let my vision roam, heart heavy with grief. 
Gently the autumn wind wafts, 
Leaves fall on the waves of Dong-ting Lake. 
5 I climb the white-sedge spot to look out for her, 
And get ready for the meeting with my love
this evening. 
Why should birds want to gather in the duckweed? 
And what are the fishnets doing in the treetops?
The Yuan has its angelica, and the Li its orchids, 
10 I am thinking of my lady, but afraid of saying so. 
I look out into the misty distance, 
And observe the murmuring waters flow. 
Why are the deer eating in the courtyard? 
What are the water dragons doing by the riverside? 
15 In the morning I let my horse gallop by the river, 
In the evening I cross the western shore. 
I seem to hear my love calling to me, 
So I will gallop aloft to ride by her.
I will build her a house in the water, 
20 And cover its roof with lotus leaves. 
I will use iris to paint its walls, purple shells to
decorate its court, 
And will spread perfumed peppers in its hall. 
Its beams will be made of cassia, rafters of orchid, 
The lintel of the peony room will be from lily trees. 
25 Woven fig leaves will be used for its curtains,
And melilot screens will be set up. 
White jade will be there to hold the mats, 
Thoroughworts will be placed to spread their scent. 
White sedges will cover the lotus room, 
30 Stalks of asarum will circle around it. 
A hundred sweet flowers will fill the courtyard 
To disperse their fragrance in the chambers and
hallways. 
The spirits of Jiuyi Mountain will all come out to
welcome us,
They will arrive in large throngs like clouds. 

35 I throw my jacket into the river, 
And leave my shirt in the mouth of the Li.
I pick lavenders in the fragrant isle, 
And will give them to the one far away. 
Time of happiness cannot be had repeatedly, 
40 Let us now take our time and roam at ease."
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"Scion of the high lord Gao Yang,
Bo Yong was my honored father’s name. 
When the constellation She Ti pointed to the
first month, 
On the day geng-yin I passed from the womb.
5 My father, seeing the aspect of my nativity,
Took omens to give me an auspicious name. 
The name he gave me was True Exemplar 
The title he gave me was Divine Balance.
Having from birth this inward beauty, 
10 I added to it fair outward adornment: 
I dressed in selinea and shady angelica, 
And twined autumn orchids to make a garland. 
Swiftly I sped as in fearful pursuit, 
Afraid that time would race on and leave me behind. 
15 In the morning I gathered the angelica on the
mountains, 
In the evening I plucked the sedges of the islets. 
The days and months hurried on, never delaying, 
Springs and autumns sped by in endless alternation.
I thought how the trees and flowers were fading and falling, 
20 And feared that my Fairest’s beauty would fade too. 
Gather the flower of youth and cast out the impure! 
Why will you not change the error of your ways? 
I have harnessed brave coursers for you to gallop
forth with, Come, let me go before and show you the way!"
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"The three kings of old were most pure and perfect,
Then indeed fragrant flowers had their proper place.
They brought together pepper and cinnamon, 
And had more than mere heliotrope and angelica.
Glorious and great were Yao and Shun
30 Because they had kept their feet on the right path. 
And how great was the folly of Jie and Zhou,
They hastened by crooked paths, facing perils at each step. 
Men of faction may enjoy their stolen pleasures 
But their way is dark and leads to danger. 
35 I have no fear for the peril of my own person, 
But only lest the chariot of my lord should be dashed. 
I hurried about your chariot in attendance, 
Leading you in the tracks of the kings of old, 
But the Fragrant One refused to examine my
true feelings, 
He lent ear instead to slander, and raged against me. 
How well I know that loyalty brings disaster, 
Yet I will endure: I will not give up. 
I called on the nine-fold heaven to be my witness, 
And all for the sake of the Godly One, and no other. 
45 Once he spoke with me in frankness, 
But then he repented and was of another mind. 
I do not care, on my own account, of this
divorcement, 
But it grieves me to find the Godly so inconstant."
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"I had tended many an acre of orchids, 
50 And planted a hundred rods of melilotus.
I had raised sweet lichens and the cart halting flower,
And asarums mingled with fragrant angelica. 
And hoped that when leaf and stem were in their full prime, 
When the time had come, I would reap a fine harvest. 
55 Though they wither and die, how would that hurt me? 
But I grieve to see these blossoms waste in rank weeds. 
All others press forward in greed and gluttony, 
No surfeit satiating their demands: 
Forgiving themselves, but harshly judging others, 
60 Each fretting his heart away in envy and malice. 
Madly they rush in the covetous chase, 
But not after that which my heart sets store by. 
For old age comes creeping and soon will be upon me,
And I fear I shall not leave behind an enduring name.
65 In the morning I drank the dew that fell from the magnolia, 
At evening ate the petals that dropped from
chrysanthemums, 
If only my mind can be truly pure and beautiful, 
It matters nothing that I often faint for famine. 
I pulled up roots to bind the valerian, 
70 And thread the castor plant’s fallen clusters with. 
I trimmed sprays of cassia for plaiting melilotus, 
And knotted the lithe, light trails of ivy.
I take my fashion from the good men of old: 
A garb unlike that which the rude world cares for. 
75 Though it may not accord with present-day manners, 
I will follow the model that Peng Xian has left. "
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"Heaving a long sigh, I brush away my tears, 
Sad that man’s life should be so beset with hardship. 
Though goodness and beauty were my bit and bridle, 
I was slandered in the morning and cast off that same evening. 
Yet, though cast off, I would wear my orchid girdle, 
I would pluck some angelicas to add to its beauty. 
For this it is that my heart takes most delight in, 
And though I die nine times, I should not regret it. 
85 What I regret is the Fair One’s waywardness, 
That never once stops to ask what is in people’s minds. 
All your ladies were jealous of my delicate beauty,
In their spiteful chattering they said I was a wanton. 
Truly this generation are cunning artificers, 
90 They reject rules to fashion their own measurements. 
They disregard ruled lines to follow their crooked fancies, 
And to emulate in flattery is their only principle. 
But I am sick and sad at heart and stand irresolute: 
I alone am at loss in this generation. 
Yet I would rather quickly die and meet dissolution, 
Before I ever would consent to ape their behavior."
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"The woman was fearful and clung to me imploringly,
130 Lifting her voice up in expostulation: 
“Gun in his stubbornness took no thought for his life, 
And perished, as result, on the moor of Feather Mountain.
Why be so lofty, with your passion for purity? 
Why must you alone have such delicate adornment? 
135 Thorns, king grass, curly ear fill the palace chambers now, 
You alone stand aloof and refuse to wear them. 
You cannot go from door to door convincing everybody; 
No one can say to others: ‘Look into my mind!’ 
People band together and like to have companions, 
Why must you be so aloof ? Why not heed my counsel?”"
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"I started out in the morning on my way from Cang-wu, 
By evening I had arrived at the Hanging Garden
I wanted to stay a while in those fairy precincts, 
But the swift-moving sun was dipping to the west. 
I ordered Xi He to stay the sun-steeds’ gallop,
To stand over Yan-zi Mountain and not go in;
For the road was so far and so distant was my journey, 
And I wanted to go up and down, seeking my heart’s desire.
I watered my dragon steeds at the Pool of Heaven,
And tied their reigns up to the Fu-sang tree.
 I broke a sprig of the Ruo tree to strike the sun with,
First I would roam a little for my enjoyment. 
I sent Wang Shu ahead to ride before me,
Fei Lian went behind me as my outrider.
The Bird of Heaven gave notice of my comings;
 The Thunder God warned me when all was not ready. 
I ordered my phoenixes to mount on their pinions 
And fly ever onward by night and by day. 
The whirlwinds gathered and came out to meet me,
Leading clouds and rainbows, to give me welcome. 
In wild confusion, now joined and now parted, 
Upward and downward rushed the glittering train. 
I ordered Heaven’s porter to open up for me; 
But he leant across Heaven’s gate and eyed me churlishly. 
The day was getting dark and drawing to its close, 
Knotting orchids, I waited in indecision. "
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"The world is muddy, impure and undiscriminating, 
It seeks always to hide beauty out of jealousy. 
I decided when morning came to cross the White Water, 
And climbed the peak of Lang-feng, and there tied up my steeds.
215 Then I looked about me and suddenly burst out weeping, 
Because on the high hill there was no fair lady. 
Here I am, suddenly, in this House of Spring,
I have broken off a jasper branch to add to my girdle. 
Before the flowers have shed their bright petals, 
220 I shall look for a maiden below to give to. 
So I ordered Feng Long to ride off on a cloud,
To seek out the dwelling-place of the lady Fu Fei.
I took off my girdle as a pledge of my suit to her, 
And ordered Jianxiu to be the go-between.
225 Many were the hurried meetings and partings, 
All wills and caprices, she was hard to woo.
In the evenings she went to lodge in the Qiong-shi Mountain, 
In the mornings she washed her hair in the Wei-pan Stream.
With proud distain she guards her beauty, 
Passing each day in idle, wanton pleasures.
Though fair she may be, she lacks all seemliness, 
Come! I’ll have none of her; let us search elsewhere!"
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"I searched for the holy plant and twigs of bamboo, 
And ordered Ling Fen to make divination for me.
He said, “Beauty is always bound to find its mate: 
260 Who that was truly fair was ever without lovers? 
Think of the vastness of the wide world, 
Here is not the only place where you can find your lady. 
Go farther afield,” he said, “and do not be faint-hearted. 
What woman seeking handsome mate could ever refuse you? 
What place on earth does not boast some fragrant flower? 
Why need you always cleave to your old home? 
The world today is blinded with its own folly, 
You cannot make people see the virtue inside you. 
Most people’s loathings and likings are different, 
270 But these men of factions are not as others are.
For they wear mugwort and cram their waistbands with it, 
But the lovely valley orchids they deem unfit to wear. 
Since beauty of flower, then, and of shrub escapes them, 
What chance has a rarest jewel of gaining recognition? 
275 They gather up muck to stuff their perfume bags with, 
The spicy pepper-plant they say has got no scent at all.” 
I searched for the holy plant and twigs of bamboo, 
And ordered Ling Fen to make divination for me.
He said, “Beauty is always bound to find its mate: 
260 Who that was truly fair was ever without lovers? 
Think of the vastness of the wide world, 
Here is not the only place where you can find your lady. 
Go farther afield,” he said, “and do not be faint-hearted. 
What woman seeking handsome mate could ever refuse you? 
265 What place on earth does not boast some fragrant flower? 
Why need you always cleave to your old home? 
The world today is blinded with its own folly, 
You cannot make people see the virtue inside you.
Most people’s loathings and likings are different, 
270 But these men of factions are not as others are. 
For they wear mugwort and cram their waistbands with it, 
But the lovely valley orchids they deem unfit to wear. 
Since beauty of flower, then, and of shrub escapes them, 
What chance has a rarest jewel of gaining recognition? 
275 They gather up muck to stuff their perfume bags with, 
The spicy pepper-plant they say has got no scent at all.” 
"
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"Since Ling Fen had given me a favorable oracle, 
I picked an auspicious day to start my journey on. 
335 I broke a branch of jasper to take for my meat,
And ground fine jasper meal for my journey’s provisions. 
Harness winged dragons to be my coursers, 
Let my chariot be of fine work of jade and ivory! 
How can I live with men whose hearts are strangers to me? 
340 I am going on a far journey to be away from them. 
I took the way toward the Kun-lun Mountain, 
A long, long road with many a turning in it. 
The cloud-embroidered banner flapped its great shade above us, 
And the jingling jade yoke-bells tinkled merrily. 
345 I set off at morning from the Ford of Heaven,
At evening I came to the world’s western end
Phoenixes followed me, bearing up my pennants, 
Soaring high with majestic wing-beats. 
Suddenly my route took me to the Flowing Sands, 
 Warily I drove along the banks of the Red Waters. 
Then, beckoning the water-dragon to make a bridge for me, 
I summoned the God of the West to take me over
So long the road had been and full of difficulties, 
I sent word to my escort to take another route, 
 To wheel around leftward, skirting Bu-zhou Mountain,
On the shore of the Western Sea we would reassemble. 
When we had mustered there, all thousand chariots, 
Jade hub to jade hub we galloped on abreast.
My eight dragon steeds flew on with writhing undulations, 
360 My cloud-embroidered banners flapped on the wind. 
In vain I tried to curb them, to slacken the swift pace, 
The spirits soared high up, far into the distance, 
We played the Nine Songs and danced to the Shao music,
Borrowing the time to make a holiday.
 But when I had ascended the splendor of the heavens, 
I suddenly caught a glimpse of my old home. 
My groom’s heart was heavy and the horses for longing 
Arched their heads back and refused to go on."
 340-278,BC,Qu Yuan,Pre-Qin,"Sao Poetry
The Lyrics of Chu (Chuci)","Love and Courtship
Hardship and Injustice
The Beautiful Woman",None,On Encountering Trouble,0,None,"Luan
Enough! 
There are no true men in the state: no one understands me. 
Why should I cleave to the city of my birth? 
Since none is worthy to work with in making good government 
I shall go and join Peng Xian in the place where he abides."
179–117 ,BC,Sima Xiangru,Han,"Fu Poetry
An Ancient-Style Rhapsody (Gufu",Eulogy and Admonition,None,Fu on the Imperial Park,1,None,"Now 
Has been placed as the eastern defensive barrier
Yet externally it secretly consorts with Sushen
Abandons its own territory, goes beyond its borders, 
Crosses the sea to hunt.
"
179–117 ,BC,Sima Xiangru,Han,"Fu Poetry
An Ancient-Style Rhapsody (Gufu",Eulogy and Admonition,None,Fu on the Imperial Park,2,None,"“To its left is Cangwu,
To its right is Western Limits;
30 The Cinnabar River traverses its south
The Purple Gulf intersects its north.
Here begin and end the Ba and Chan, 
Here exit and enter the Jing and Wei. 
The Feng, Hao, Lao, and Jue
Twisting and twining, sinuously snaking 
Crisscross within it. 
Vast and wide, the eight streams separately flow, 
Back to back, each in a different manner. 
East, west, south, and north, 
40 They gallop and dash hither and thither.
They emerge from gaps in steep hills, 
Run along the banks of holms and isles, the han dynasty
Pass through the middle of cinnamon groves, 
Cross into broad and boundless wastes. 
 Swiftly, amply flowing, 
They descend along the slopes, 
Enter mouths of narrow gorges, 
Collide with giant boulders,
Smash against winding shores, 
50 Frothing with violent anger. 
Soaring and leaping, surging and swelling, 
Spurting and spouting, rushing and racing, 
Pressing and pushing, clashing and colliding,
Flowing uncontrolled, bending back, 
55 Wheeling and rearing, beating and battering, 
Swelling and surging, troublous and turbulent. 
Loftily arching, billowing like clouds, 
Sinuously snaking, curling and coiling, 
Outracing their own waves, rushing to the chasms, 
60 Lap, lap, they descend to the shoals. 
Striking the bluffs, hurtling against the dikes, 
Racing and swelling, spraying and spuming. 
Nearing the sandbars, they pour into gullies, 
Plashing and splashing as they tumble downward. 
65 Deep, deep, full, full, 
Rumbling and roaring, bellowing and blustering, 
Bubbling and boiling, gushing and gurgling, 
Foaming and frothing like a seething cauldron, 
Speeding waves, flinging spray, 
70 They swiftly swirl, furious and fast. 
Far and wide, distantly heading homeward, 
Still and silent, without a sound, 
Gently, they make their long return. 
And then 
Broad and boundless, deep and wide, 
75 Calmly coursing, slowly turning, 
Brightly gleaming and glistening, 
Eastward they pour into great lakes, 
Spill and overflow into reservoirs and ponds. 
Thereupon, 
80 Scaly dragons and scarlet wiverns, 
Beaked sturgeons, crayfish, 
Striped fish, bighead carp, eels, yellow catfish, 
Fish-ox, flounders, 
Raising their dorsal fins, wiggling their tails, 
 Shaking their scales, flapping their fins, 
Dwell submerged in the deep recesses. 
Fish and turtles noisily sound forth; 
Myriad creatures throng in great numbers. 
Luminous moons and pearlets 
90 Gleam and glow on the riverbanks. 
Shu stone, yellow quartz, 
Rock crystal heaped high: 
Spangling and sparkling, glittering and glistening, 
Their colors and hues brightly shining, 
95 Are thickly gathered within them. 
Swan geese, kingfishers, swans, bustards, 
Wild geese, white herons, 
Night herons, revolving eyes,
Hornbills, dike ducks, 
 Needle beaks, and cormorants, 
Swim in flocks on the surface, 
Freely floating, wandering at will, 
Tossed and tumbled with the wind, 
Bobbing and rocking with the waves, 
105 Resting and roosting on the river holms, 
Nibbling at water grass and horsetail, 
Chewing caltrop and lotus. "
